player_id,player,pos,squad,age,standard_club,born,matches_played,standard_playing_time_starts,standard_playing_time_min,standard_playing_time_90s,goals,assists,standard_performance_g+a,standard_performance_g-pk,standard_performance_pk,standard_performance_pkatt,standard_performance_crdy,standard_performance_crdr,standard_per_90_minutes_gls,standard_per_90_minutes_ast,standard_per_90_minutes_g+a,standard_per_90_minutes_g-pk,standard_per_90_minutes_g+a-pk,shooting_90s,shooting_standard_gls,shots,shots_on_target,shooting_standard_sot%,shooting_standard_sh/90,shooting_standard_sot/90,shooting_standard_g/sh,shooting_standard_g/sot,shooting_standard_pk,shooting_standard_pkatt,misc_90s,yellow_cards,red_cards,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,playingtime_playing_time_mp,playingtime_playing_time_min,playingtime_playing_time_mn/mp,playingtime_playing_time_min%,playingtime_playing_time_90s,playingtime_starts_starts,playingtime_starts_mn/start,playingtime_starts_compl,playingtime_subs_subs,playingtime_subs_mn/sub,playingtime_subs_unsub,playingtime_team_success_ppm,playingtime_team_success_ong,playingtime_team_success_onga,playingtime_team_success_+/-,playingtime_team_success_+/-90,playingtime_team_success_on-off,minutes,played
157,Tajon Buchanan,MF,ca Canada,27,,1999,5,5,376,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.2,0,6,3,50.0,1.44,0.72,0.0,0.0,0,0,4.2,0,0,0,5,8,2,16,1,5,,,0,5,376.0,75.0,83.6,4.2,5,75.0,0,0,,0,1.4,5.0,5.0,0.0,0.0,-3.65,376,True
158,Ante Budimir,FW,hr Croatia,34,,1991,3,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58,1.7,1,3,1,33.3,1.74,0.58,0.33,1.0,0,0,1.7,0,0,0,6,4,0,0,0,1,,,0,3,155.0,52.0,43.1,1.7,2,55.0,0,1,45.0,1,2.0,2.0,0.0,2.0,1.16,2.48,155,True
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26,,2000,3,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.6,0,0,0,,0.0,0.0,,,0,0,2.6,1,0,0,2,3,0,0,1,0,,,0,3,238.0,79.0,88.1,2.6,3,79.0,1,0,,0,0.67,1.0,5.0,-4.0,-1.51,-1.51,238,True
160,Cameron Burgess,DF,au Australia,30,,1995,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0,0,0,,0.0,0.0,,,0,0,1.5,0,0,0,0,0,0,0,1,1,,,1,2,135.0,68.0,34.6,1.5,2,68.0,1,0,,2,1.5,2.0,2.0,0.0,0.0,0.0,135,True
161,Dan Burn,DF,eng England,34,,1992,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,,0.0,0.0,,,0,0,0.4,0,0,0,1,0,0,0,0,0,,,0,3,35.0,12.0,4.7,0.4,0,,0,3,12.0,5,2.0,0.0,2.0,-2.0,-5.14,-6.4,35,True
162,Dženis Burnić,MF,ba Bosnia–Herz,28,,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,1,0,0.0,5.63,0.0,0.0,,0,0,0.2,0,0,0,0,0,0,0,0,0,,,0,2,16.0,8.0,4.4,0.2,0,,0,2,8.0,2,2.0,0.0,0.0,0.0,0.0,0.78,16,True
163,Gustavo Caballero,"FW,MF",py Paraguay,24,,2001,2,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,0,1,1,100.0,0.94,0.94,0.0,0.0,0,0,1.1,0,0,0,2,2,1,0,0,2,,,0,2,96.0,48.0,20.0,1.1,0,,0,2,48.0,3,0.5,0.0,1.0,-1.0,-0.94,-0.47,96,True
164,Jovane Cabral,FW,cv Cabo Verde,28,,1998,2,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0,2,0,0.0,1.29,0.0,0.0,,0,0,1.5,0,0,0,1,2,0,1,1,3,,,0,2,139.0,70.0,35.6,1.5,2,70.0,0,0,,2,0.5,1.0,1.0,0.0,0.0,0.36,139,True
165,Liberato Cacace,DF,nz New Zealand,25,,2000,3,3,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4,0,1,1,100.0,0.41,0.41,0.0,0.0,0,0,2.4,0,0,0,1,5,0,8,3,2,,,0,3,220.0,73.0,81.5,2.4,3,73.0,0,0,,0,0.33,3.0,7.0,-4.0,-1.64,1.96,220,True
166,Juan Cáceres,DF,py Paraguay,26,,2000,5,5,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4.8,0,2,1,50.0,0.41,0.21,0.0,0.0,0,0,4.8,1,0,0,9,6,0,10,5,11,,,0,5,436.0,87.0,90.8,4.8,5,87.0,2,0,,0,1.0,3.0,5.0,-2.0,-0.41,1.63,436,True
